BRA_BRAND_NO;BRA_SHORT_NAME;VIEW_TERM_PLAIN
3663;KRAFT AUTO;KRAFT AUTOMOTIVE
3664;SAKURA;SAKURA
3665;LIPECLUTCH;LIPE CLUTCH
3666;EGT;EGT
3667;ABS;A.B.S.
3668;3EFFEGROUP;3Effe Group
3669;PROTEC;Protec
3670;POWERSPRIN;Power Springs
3671;BLIC;BLIC
3672;ATE_CN;ATE-CN
3673;PATRON;PATRON
3674;MECARM;MECARM
3675;VDO_CN;VDO-CN
3676;WESTLAKE;WESTLAKE
3677;INOKOM;INOKOM
3678;CHAMONIX;CHAMONIX
3679;LOBINI;LOBINI
3680;TAC;TAC
3681;TROLLER;TROLLER
3682;CTEK;CTEK
3683;CONTI_CN;CONTINENTAL CTAM CN
3684;STARTOL;STARTOL
3685;EATON UK;EATON
3686;KWAUTOMOTI;KW
3687;ALLGAIER;ALLGAIER
3688;BUCHER GUY;BUCHER
3689;RAM;RAM
3690;MAYSAN MAN;Maysan Mando
3691;RANCHO;RANCHO
3692;PEX AUTOMO;PEX AUTOMOTIVE
3693;LECOY;LECOY
3694;DHC;DHC
3695;ROSTAR;ROSTAR
3696;WORKHORSE;WORKHORSE
3697;GLEAGLE;GLEAGLE
3698;TEVEMA;TEVEMA
3699;ASAM;ASAM
3700;NGH;NGH Autotechnik
3701;AGCOSISUP;AGCO SISU POWER
3702;BRT;BRT Bearings
3703;AUTOMOTIVE;Automotive Bearings
3704;ENGLON;ENGLON
3705;ROMBAT;ROMBAT
3706;REFLEX ALL;REFLEX&ALLEN
3707;SPJ;SPJ
3708;CARRAB BP;CARRAB BRAKE PARTS
3709;ZF;ZF
3710;K27;K27
3711;MENBAA;menbaa
3712;DOGA;DOGA
3713;JAMEX;JAMEX
3714;RKS;RKS
3715;HAN HERRED;Han Herreds
3716;KINGSTAR;KINGSTAR
3717;HIRSCH;HIRSCH KFZ-TEILE
3718;BAP FIXUS;BAP FIXUS
3719;CODA;CODA
3720;STEC;s-Tec
3721;SANDO;SANDO
3722;TEDGUM;TEDGUM
3723;CRAFT;CRAFT BEARINGS
3724;STELLOX;STELLOX
3725;SAFA;SAFA
3726;XADO;XADO
3727;3RG;3RG
3728;SHERIFF;SHERIFF
3729;BHARATBENZ;BHARATBENZ
3730;LYNXAUTO;LYNXauto
3731;DYNAC;DYNAC
3732;LANDPORT;LANDPORT
3733;ELECTRIC L;ELECTRIC LIFE
3734;CASALS;CASALS
3735;KAPPA OIL;KAPPA OIL
3736;NAGARES;NAGARES
3737;SHAFTEC;SHAFTEC
3738;FISKER;FISKER
3739;WEITEC;WEITEC
3740;PYEONGHWA;PYEONGHWA (PMC)
3741;FUSO;FUSO (MITSUBISHI)
3742;LUXGEN;LUXGEN
3743;ROTA;ROTA
3744;BEGEL;BEGEL Germany
3745;FEDERAL MO;FEDERAL MOGUL
3746;TUNGSRAM;TUNGSRAM
3747;DEEZA;DEEZA
3748;SEM LASTIK;SEM LASTIK
3749;CARIX;CARIX
3750;VDL;VDL
3751;BOSCHCHINA;BOSCH
3752;VPG;VPG
3753;EASYPARTS;EASYPARTS
3754;LEMA;LEMA
3755;UNIPOINT;UNIPOINT
3756;MANN CHINA;Mann-Filter-CN
3757;MSG;MSG
3758;SAMPA;SAMPA
3759;ARTEC;ARTEC
3760;LOEBRO_CN;GKN-Löbro-CN
3761;FIAT_GAC;FIAT (GAC)
3762;BESTURN;BESTURN (FAW)
3763;URALAZ;URAL
3764;BAOJUN;BAOJUN (SGMW)
3765;BEHR_;BEHR_
3766;BEHR SERVI;BEHR SERVICE
3767;WAI;WAI
3768;ATI;ATI
3769;B-LINE;B-Line
3770;CAM;C.A.M
3771;FODAY;FODAY
3772;CMC;CMC
3773;BAIC;BAIC
3774;SAKURAAUTO;SAKURA Automotive
3775;ASVA;ASVA
3776;AKITAKA;AKITAKA
3777;AKYOTO;AKYOTO
3778;SPICER;SPICER
3779;VICTOR;VICTOR
3780;LUCAS TVS;LUCAS TVS
3781;QH TALBROS;QH Talbros
3782;GABRIEL IN;GABRIEL (India)
3783;POLATOR IN;Purolator India
3784;HALDEX IND;HALDEX
3785;BEHR INDIE;BEHR
3786;VALEO INDI;VALEO
3787;BOSCH INDI;BOSCH
3788;GOETZE IND;GOETZE
3789;GLYCO INDI;GLYCO
3790;FERODO IND;FERODO
3791;HELLA INDI;HELLA
3792;MANN INDIE;MANN-FILTER
3793;P C INDIEN;PERFECT CIRCLE
3794;MASTRETTA;MASTRETTA
3795;DEUTSCH;DEUTSCH
3796;YCACO;YCACO
3797;VALX;VALX
3798;GRANTEX;GRANTEX
3799;VENUCIA;VENUCIA
3800;AUTOKIT;AUTOKIT
3801;PEMEBLA;PEMEBLA
3802;MULTIP;Multiparts
3803;ACR;ACR
3804;LAZ;LAZ
3805;KING LONG;KING LONG
3806;VISEON;VISEON
3807;PROCODIS F;PROCODIS FRANCE
3808;AUTOCLIMA;AUTOCLIMA
3809;FPT;FPT
3810;ABAKUS;ABAKUS
3811;MABYPARTS;MABYPARTS
3812;IVECO MAGI;IVECO MAGIRUS
3813;EFFEBI;EFFEBI
3814;REPKIT;REPKIT
3815;MOVIS;MOVIS
3816;WEICHAI;WEICHAI
3817;YUCHAI YC;YUCHAI DIESEL
3818;YANGCHAI;YANGCHAI
3819;YAGMUR;YAGMUR
3820;PASQUALI;PASQUALI
3821;FERRARI AG;FERRARI AGRI
3822;CARON;CARON
3823;CHALLENGER;CHALLENGER
3824;SONALIKA;SONALIKA
3825;A_CARRARO;ANTONIO CARRARO
3826;SOLIS;SOLIS
3828;DURSO;DURSO
3829;ARMATRAC;ARMATRAC
3830;BM TRACTOR;BM TRACTORS
3831;BRANSON;BRANSON
3832;DIECI;DIECI
3833;KIOTI;KIOTI
3834;MERLO;MERLO
3835;KUKJE MACH;KUKJE MACHINERY
3836;AWM;AWM
